ID,Field,latitude,longitude,year,Crop,planting_date,obs_planting_delta
ID_44.740789_-91.2186815,Field_44.740789_-91.2186815,44.740789,-91.2186815,2016,Corn,5/15/2016,73
ID_44.97603894_-95.21102976,Field_44.97603894_-95.21102976,44.97603894,-95.21102976,2016,Corn,5/5/2016,89
ID_45.9580605_-96.145168,Field_45.9580605_-96.145168,45.9580605,-96.145168,2016,Corn,5/3/2016,94
ID_45.1979665_-95.4234305,Field_45.1979665_-95.4234305,45.1979665,-95.4234305,2016,Corn,5/4/2016,93
ID_45.83845837_-96.09193576,Field_45.83845837_-96.09193576,45.83845837,-96.09193576,2016,Corn,5/4/2016,93
ID_47.92382201_-97.51264025,Field_47.92382201_-97.51264025,47.92382201,-97.51264025,2016,Corn,5/11/2016,113
ID_47.24408_-96.481627,Field_47.24408_-96.481627,47.24408,-96.481627,2016,Corn,5/11/2016,126
ID_47.33461425_-96.45986603,Field_47.33461425_-96.45986603,47.33461425,-96.45986603,2016,Corn,5/12/2016,125
ID_48.0163045_-96.7536245,Field_48.0163045_-96.7536245,48.0163045,-96.7536245,2016,Corn,5/7/2016,117
ID_47.04440649_-97.04174625,Field_47.04440649_-97.04174625,47.04440649,-97.04174625,2016,Corn,5/4/2016,120
ID_47.04440649_-97.04174625,Field_47.04440649_-97.04174625,47.04440649,-97.04174625,2016,Corn,5/25/2016,110
ID_46.79832825_-97.46112752,Field_46.79832825_-97.46112752,46.79832825,-97.46112752,2016,Corn,5/4/2016,105
ID_46.79832825_-97.46112752,Field_46.79832825_-97.46112752,46.79832825,-97.46112752,2016,Corn,5/4/2016,110
ID_46.79832825_-97.46112752,Field_46.79832825_-97.46112752,46.79832825,-97.46112752,2016,Corn,5/10/2016,110
ID_47.844139_-96.693842,Field_47.844139_-96.693842,47.844139,-96.693842,2016,Corn,5/6/2016,118
ID_46.898326_-96.53989,Field_46.898326_-96.53989,46.898326,-96.53989,2016,Corn,5/3/2016,106
ID_46.898326_-96.53989,Field_46.898326_-96.53989,46.898326,-96.53989,2016,Corn,5/25/2016,106
ID_47.33378051_-97.08449575,Field_47.33378051_-97.08449575,47.33378051,-97.08449575,2016,Corn,5/5/2016,106
ID_44.26405373_-92.9375238,Field_44.26405373_-92.9375238,44.26405373,-92.9375238,2016,Corn,5/3/2016,71
ID_44.26405373_-92.9375238,Field_44.26405373_-92.9375238,44.26405373,-92.9375238,2017,Corn,5/3/2017,129
ID_44.26405373_-92.9375238,Field_44.26405373_-92.9375238,44.26405373,-92.9375238,2017,Soy,5/3/2017,129
